City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
284,kibakwe,46,TZ,74,-6.71,36.37,69.54,5.44
285,luderitz,39,NA,72,-26.65,15.16,62.6,18.34
286,san andres,58,PH,82,13.32,122.68,81.78,2.89
287,pangnirtung,75,CA,80,66.15,-65.72,35.6,18.34
288,san quintin,95,PH,76,17.54,120.52,78.72,3.62
289,union,90,US,100,47.36,-123.1,57.2,8.05
290,dudinka,75,RU,92,69.41,86.18,15.8,29.08
291,florida,40,CU,52,21.53,-78.23,87.8,5.82
292,madikeri,75,IN,89,12.42,75.74,84.2,2.24
293,esperance,40,TT,46,10.24,-61.45,91.4,18.34
294,takoradi,100,GH,85,4.89,-1.75,78.9,3.56
295,lokomotivnyy,38,RU,61,53.01,60.57,41.1,9.42
296,khash,32,IR,43,28.22,61.21,68.28,12.5
297,mogok,0,MM,51,22.92,96.51,72.24,2.77
298,mikkeli,0,FI,59,61.69,27.27,62.6,6.93
299,jiuquan,0,CN,14,39.73,98.49,59.64,5.5
300,betafo,9,MG,92,-19.84,46.86,58.2,3.47
301,aitape,100,PG,87,-3.15,142.36,77.64,3.96
302,alofi,75,NU,94,-19.06,-169.92,75.2,6.93
303,yulara,20,AU,77,-25.24,130.99,62.6,8.16
304,kvarkeno,77,RU,56,52.08,59.73,44.88,8.21
305,salinopolis,90,BR,82,-0.61,-47.36,82.14,12.57
306,chunhuhub,5,MX,35,19.59,-88.59,96.72,7.02
307,dunedin,1,NZ,81,-45.87,170.5,46.99,4
308,nioro,76,GM,15,13.79,-15.05,101.4,6.02
309,upernavik,0,GL,85,72.79,-56.15,29.22,11.59
310,airai,35,TL,73,-8.93,125.41,75.12,7.2
311,balkanabat,99,TM,41,39.51,54.36,79.8,6.69
312,syumsi,90,RU,66,57.11,51.61,43.08,6.91
313,loukhi,100,RU,75,66.08,33.04,38.04,9.91
314,baruun-urt,0,MN,48,46.68,113.28,44.88,5.32
315,miraflores,99,CO,60,5.2,-73.14,68.64,5.44
316,gunjur,0,GM,61,13.18,-16.76,80.6,9.17
317,wajima,100,JP,94,37.4,136.9,63.78,13.53
318,buala,87,SB,79,-8.15,159.59,81.96,10.78
319,acari,100,BR,48,-6.44,-36.64,89.34,11.99
320,banfora,77,BF,56,10.64,-4.75,91.14,4.7
321,mandera,69,ET,47,3.94,41.86,87.18,8.03
322,tshikapa,99,CD,58,-6.42,20.79,79.62,2.15
323,juneau,75,US,71,58.3,-134.42,57.2,11.41
324,sidney,1,US,26,47.72,-104.16,61,14.99
325,edd,50,ER,49,13.93,41.69,93.3,9.69
326,cockburn town,1,TC,79,21.46,-71.14,80.52,12.5
327,kizukuri,100,JP,59,40.81,140.39,68,1.01
328,vung tau,77,VN,77,10.35,107.08,85.2,10.58
329,mahon,75,IE,71,51.89,-8.4,57,9.17
330,biltine,93,TD,13,14.53,20.93,101.76,6.87
331,ishigaki,69,JP,73,24.34,124.16,76.2,24.34
332,morant bay,20,JM,62,17.88,-76.41,86,23.04
333,raduzhnyy,100,RU,93,62.1,77.47,39.3,9.86
334,san patricio,94,PY,82,-26.98,-56.83,76.74,7.49
335,hulan ergi,100,CN,85,47.2,123.63,48.48,15.26
336,thayetmyo,81,MM,61,19.32,95.18,88.26,7.07
337,acapulco,5,MX,70,16.86,-99.88,84.2,11.41
338,port shepstone,2,ZA,47,-30.74,30.45,69.54,5.32
339,tautira,20,PF,70,-17.73,-149.15,84.2,10.29
340,la libertad,0,PE,36,-16.38,-71.56,64.4,8.05
341,raymond,40,US,48,43.04,-71.18,84.99,12.75
342,road town,40,VG,66,18.42,-64.62,86,9.17
343,yar-sale,100,RU,90,66.83,70.83,24.9,17.43
344,iwanai,100,JP,87,42.97,140.51,56.04,11.32
345,eseka,100,CM,91,3.65,10.77,76.92,3.13
346,chiredzi,0,ZW,42,-21.05,31.67,65.76,0.78
347,tigil,33,RU,92,57.8,158.67,36.6,4.59
348,avera,40,US,40,33.19,-82.53,91.4,9.17
349,muzhi,100,RU,85,65.4,64.7,30.3,11.63
350,komsomolskiy,55,RU,93,67.55,63.78,18.78,13.2
351,chapais,90,CA,93,49.78,-74.86,44.6,6.93
352,biak,81,ID,98,-0.91,122.88,65.4,3.27
353,darhan,32,MN,36,49.49,105.92,51.72,1.7
354,daru,78,SL,89,7.99,-10.85,79.62,3.6
355,onokhoy,33,RU,51,51.92,108.05,37.4,2.24
356,leh,33,IN,51,34.16,77.58,25.8,3.58
357,banda aceh,100,ID,76,5.56,95.32,84.12,11.95
358,alyangula,100,AU,100,-13.85,136.42,71.6,3.36
359,sorland,0,NO,71,67.67,12.69,53.6,5.82
360,fort nelson,20,CA,42,58.81,-122.69,68,5.82
361,boyolangu,80,ID,89,-8.09,111.9,74.76,4.65
362,datong,0,CN,23,40.09,113.3,55.32,9.44
363,vila franca do campo,40,PT,88,37.72,-25.43,66.2,12.75
364,akureyri,90,IS,66,65.68,-18.09,48.2,6.93
365,ulladulla,0,AU,62,-35.36,150.48,60.01,11.41
366,ust-barguzin,27,RU,60,53.41,109.03,36.06,2.42
367,pampierstad,0,ZA,23,-27.78,24.69,67.02,10.38
368,zyryanovsk,100,KZ,88,49.74,84.27,48.84,1.81
369,cooma,11,AU,71,-36.24,149.13,53.6,10.29
370,sfantu gheorghe,40,RO,93,44.65,26.83,66.2,10.29
371,carballo,0,ES,44,43.21,-8.69,63,5.82
372,shimoda,75,JP,100,34.7,138.93,68,11.41
373,novonukutskiy,96,RU,40,53.7,102.71,56.04,4.81
374,reguengos de monsaraz,20,PT,49,38.42,-7.53,71.6,14.99
375,ocean city,40,US,66,30.44,-86.61,93,13.87
376,qinhuangdao,0,CN,40,39.94,119.59,57.48,8.41
377,muskegon,90,US,70,43.23,-86.25,50,12.75
378,kargasok,82,RU,79,59.06,80.87,43.08,8.63
379,auki,83,NG,26,12.18,6.51,98.88,6.08
380,kayseri,40,TR,48,38.73,35.48,66.2,3.36
381,quanzhou,35,CN,88,24.9,118.59,69.8,6.71
382,nago,40,IT,93,45.88,10.89,60.01,3.36
383,medicine hat,75,CA,32,50.04,-110.68,55.4,14.99
384,cherskiy,100,RU,96,68.75,161.3,24,7.16
385,santa maria,99,BR,85,-29.69,-53.81,71.16,5.95
386,north bend,40,US,58,43.41,-124.22,63,12.75
387,el alto,75,BO,19,-16.5,-68.19,57.2,14.99
388,geraldton,75,CA,43,49.72,-86.95,55.4,11.41
389,souillac,1,FR,59,45.6,-0.6,62.6,11.41
390,la ronge,40,CA,33,55.1,-105.3,62.6,10.29
391,namibe,0,AO,74,-15.19,12.15,71.7,17.4
392,westport,20,IE,66,53.8,-9.52,55.99,9.17
393,juiz de fora,20,BR,44,-21.76,-43.35,75.2,8.05
394,lagos,20,NG,83,6.46,3.39,82.4,3.36
395,half moon bay,90,US,67,37.46,-122.43,62.01,9.17
396,nelson bay,2,AU,93,-32.72,152.14,59,3.36
397,tuatapere,71,NZ,88,-46.13,167.69,48,1.99
398,grindavik,75,IS,100,63.84,-22.43,51.01,9.17
399,xining,76,CN,47,36.62,101.77,44.7,1.21
400,kieta,97,PG,72,-6.22,155.63,82.5,4.09
401,kalabo,47,ZM,42,-15,22.67,69.9,4.72
402,sambava,7,MG,99,-14.27,50.17,70.98,1.5
403,wawa,90,NG,38,9.9,4.41,94.92,4.88
404,manama,0,AE,52,25.33,56.02,91.4,14.99
405,labuan,75,BN,88,5.28,115.24,80.6,5.21
406,wexford,75,US,53,40.63,-80.06,75.99,19.46
407,kyren,100,RU,57,51.68,102.13,38.04,5.79
408,boquira,20,BR,40,-12.82,-42.73,88.62,5.1
409,bathsheba,20,BB,58,13.22,-59.52,86,18.34
410,ogbomosho,97,NG,61,8.13,4.25,84.66,8.72
411,longyearbyen,75,NO,74,78.22,15.63,28.4,5.82
412,diu,0,IN,75,20.71,70.98,83.04,12.82
413,shebalino,100,RU,68,51.29,85.68,53.52,7.29
414,kalat,47,PK,44,29.03,66.58,66.84,4
415,hare bay,75,CA,64,48.86,-53.99,46,17.22
416,kirkuk,0,IQ,16,35.47,44.4,86.82,7.36
417,tabou,84,CI,82,4.42,-7.36,80.88,4.9
418,ahipara,99,NZ,100,-35.17,173.16,55,9.51
419,byron bay,40,AU,93,-28.65,153.62,63,4.7
420,isangel,13,VU,76,-19.55,169.27,74.76,20.18
421,saint-joseph,75,FR,93,43.56,6.97,64,3.36
422,susuman,0,RU,75,62.78,148.15,22.38,3.15
423,plattling,100,DE,86,48.78,12.88,55.99,3.71
424,arenapolis,27,BR,34,-14.45,-56.85,89.52,3.94
425,tocopilla,79,CL,94,-22.09,-70.2,61.8,17.07
426,arroyo,75,US,49,41.39,-78.88,75,21.92
427,hastings,0,NZ,93,-39.64,176.84,42.18,2.64
428,okhotsk,87,RU,77,59.36,143.24,41.46,6.53
429,maniitsoq,1,GL,76,65.42,-52.9,40.02,8.08
430,meulaboh,100,ID,81,4.14,96.13,81.6,5.88
431,cartagena del chaira,98,CO,89,1.33,-74.84,79.62,3.22
432,macau,70,BR,65,-5.11,-36.64,86.1,13.85
433,svodin,0,SK,72,47.91,18.5,63,6.93
434,victoria,75,BN,88,5.28,115.24,80.6,5.21
435,dong xoai,100,VN,71,11.53,106.92,83.76,5.44
436,zaysan,43,KZ,47,47.47,84.87,59.46,10.83
437,sioux lookout,40,CA,44,50.1,-91.92,59,6.93
438,waipawa,0,NZ,93,-39.94,176.59,33.01,2.64
439,vila do maio,20,CV,54,15.13,-23.22,80.6,13.87
440,brae,99,GB,87,60.4,-1.35,51.8,4.7
441,russkiy aktash,20,RU,80,55.04,52.12,41,11.18
442,kokstad,51,ZA,33,-30.55,29.42,57.12,3.65
443,lucapa,65,AO,48,-8.42,20.74,78.36,2.73
444,birjand,0,IR,26,32.86,59.22,71.6,9.17
445,ingham,24,AU,97,-18.65,146.16,64.32,3.29
446,henties bay,0,NA,91,-22.12,14.28,59,5.99
447,tilichiki,99,RU,87,60.47,166.1,33.9,4.41
448,doha,15,QA,78,25.29,51.53,84.2,2.24
449,makakilo city,75,US,69,21.35,-158.09,82.99,11.41
450,lorengau,100,PG,89,-2.02,147.27,77.46,1.12
451,anan,90,JP,93,33.91,134.64,66.2,5.82
452,synya,29,RU,68,65.37,58.04,32.28,8.55
453,thanatpin,75,MM,83,17.29,96.58,82.4,4.7
